,label,input
0,Apennines,Apenines
1,Apennines,Appenines
2,Athenian,Athenean
3,Athenians,Atheneans
4,Bernoulli,Bernouilli
5,Blitzkrieg,Blitzkreig
6,Brazilian,Brasillian
7,Britain,Britian
8,British,Brittish
9,Caesar,Ceasar
10,Cambridge,Cambrige
11,Caracas,carcas
12,Caribbean,Carribean
13,Carthaginian,Carthagian
14,Catalina,Cataline
15,Catiline,Cataline
16,Celsius,Celcius
17,Champagne,Champange
18,Connecticut,Conneticut
19,Cypriot,Cyprian
20,Ellis,eles
21,English,Enlish
22,European,Europian
23,European,Eurpean
24,European,Eurpoean
25,Europeans,Europians
26,February,febuary
27,Flemish,Flemmish
28,Franciscan,Fransiscan
29,Franciscans,Fransiscans
30,Gael,gae
31,Galatians,Galations
32,Gandhi,Ghandi
33,Gauguin,gogin
34,Guatemala,Guatamala
35,Guatemalan,Guatamalan
36,Guinness,Guiness
37,Israelis,Israelies
38,Ithaca,Ihaca
39,Jacques,Jaques
40,Japanese,Japanes
41,Joseph,Jospeh
42,Judaism,Juadaism
43,Judaism,Juadism
44,Libya,Lybia
45,Malcolm,Malcom
46,Maltese,maltesian
47,Mara_Liasson,liason
48,Massachusetts,Massachussets
49,Massachusetts,Massachussetts
50,Mediterranean,Mediteranean
51,Michigan,Michagan
52,Miranda,meranda
53,Mississippi,Missisipi
54,Mississippi,Missisippi
55,Missouri,Misouri
56,Muslim,Mohammedan
57,Muslim,Muhammadan
58,Muslims,Mohammedans
59,Nazareth,Nazereth
60,New_Yorker,Newyorker
61,Newfoundland,Foundland
62,Nuremberg,Nuremburg
63,Orignal,orginal
64,Palestinian,Palistian
65,Palestinian,Palistinian
66,Philippine,Phillipine
67,Philippines,Philipines
68,Philippines,Phillipines
69,Philippines,Phillippines
70,Portuguese,Portugese
71,Puccini,Pucini
72,Rockefeller,Rockerfeller
73,Russian,Russion
74,Russian,russina
75,Saturday,Saterday
76,Saturdays,Saterdays
77,Sistine,Sixtin
78,Spanish,spainish
79,Tim,tiem
80,Ukrainian,Ukranian
81,Valletta,Valetta
82,Wednesday,wendsay
83,Wednesday,wensday
84,Zionist,Sionist
85,Zionists,Sionists
86,a_lot,alot
87,abandon,abondon
88,abandoned,abondoned
89,abandoning,abondoning
90,abandons,abondons
91,aberration,aberation
92,about,baout
93,about,boaut
94,absence,absense
95,absorbed,asorbed
96,absorption,absorbsion
97,absorption,absorbtion
98,abuts,abutts
99,acceptable,acceptible
100,accessible,accessable
101,accession,accension
102,accidentally,accidently
103,acclimatization,acclimitization
104,accommodate,accomadate
105,accommodate,accomodate
106,accommodated,accomadated
107,accommodated,accomodated
108,accommodates,accomadates
109,accommodates,accomodates
110,accommodating,accomadating
111,accommodating,accomodating
112,accommodation,accomadation
113,accommodation,accomodation
114,accommodations,accomodations
115,accompanied,accompanyed
116,accomplish,acomplish
117,accomplished,acomplished
118,accomplishment,acomplishment
119,accomplishments,acomplishments
120,according,acording
121,accuracy,acuracy
122,accused,accussed
123,accustom,acustom
124,accustomed,acustommed
125,achieve,acheive
126,achieve,achive
127,achieved,acheived
128,achieved,achived
129,achievement,acheivement
